date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:30	6113/6113	---M--	200	added ('OK')	text/html	etag:%224c9f1-17e1-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-37.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-37.html	(from )
20:04:30	6111/6111	---M--	200	added ('OK')	text/html	etag:%224c9fd-17df-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-38.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-38.html	(from )
20:04:30	6515/6515	---M--	200	added ('OK')	text/html	etag:%224ca0a-1973-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-39.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-39.html	(from )
20:04:31	6894/6894	---M--	200	added ('OK')	text/html	etag:%224ca16-1aee-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-40.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-40.html	(from )
20:04:31	6581/6581	---M--	200	added ('OK')	text/html	etag:%224ca17-19b5-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-41.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-41.html	(from )
20:04:31	5555/5555	---M--	200	added ('OK')	text/html	etag:%224ca23-15b3-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-42.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-42.html	(from )
20:04:32	6188/6188	---M--	200	added ('OK')	text/html	etag:%224ca2f-182c-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-43.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-43.html	(from )
20:04:32	6848/6848	---M--	200	added ('OK')	text/html	etag:%224ca51-1ac0-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-44.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-44.html	(from )
20:04:32	6219/6219	---M--	200	added ('OK')	text/html	etag:%224ca80-184b-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-45.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-45.html	(from )
20:04:32	5875/5875	---M--	200	added ('OK')	text/html	etag:%224ca8c-16f3-6fa2c880%22	http://www.comp.leeds.ac.uk/nora/html/2-46.html	/home/msaad/websites/Quran_concepts/www.comp.leeds.ac.uk/nora/html/2-46.html	(from )
